,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds,outlier
40,7.0,25.0,2.1678999999999995,38.29870000000001,53.322228072246475,15.79,117.15099999999997,1.0,1.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
41,7.0,25.0,1.1223,57.61390000000001,86.71270096468879,79.11000000000001,204.229,4.0,4.0,3.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
42,7.0,25.0,1.1209,34.229800000000004,57.811838291574105,38.69,138.122,3.0,1.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
43,7.0,25.0,4.910500000000094,1293.3417000000106,2121.8188396393934,1090.5500000000013,5223.266999999995,117.0,1.0,343.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
44,7.0,25.0,5.424300000000094,1301.2717000000105,2134.1942693137225,1090.5500000000013,5249.304999999997,117.0,1.0,344.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
45,7.0,25.0,5.665300000000108,1309.6657000000105,2148.7733207791102,1112.9200000000014,5293.3139999999985,119.0,1.0,344.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
46,7.0,27.0,4.910500000000094,1293.3417000000106,2121.8188396393934,1090.5500000000013,5223.266999999995,117.0,1.0,343.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
47,7.0,27.0,5.424300000000094,1301.2717000000105,2134.1942693137225,1090.5500000000013,5249.304999999997,117.0,1.0,344.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
48,7.0,27.0,5.665300000000108,1309.6657000000105,2148.7733207791102,1112.9200000000014,5293.3139999999985,119.0,1.0,344.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
49,7.0,27.0,-2.6967999999999983,79.70520000000002,131.59523798957892,141.76,318.33299999999997,8.0,6.0,7.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
50,7.0,27.0,-2.6967999999999956,79.70520000000002,131.59523798957886,141.76,318.33300000000014,8.0,6.0,7.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
51,7.0,27.0,-2.6967999999999956,79.70520000000003,131.59523798957886,141.76,318.33300000000014,8.0,6.0,7.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['SlogP', 'HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
52,7.0,27.0,0.3189999999999995,61.748000000000026,93.95200339085672,17.619999999999994,216.288,4.0,0.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
53,7.0,27.0,0.3189999999999995,61.748000000000026,93.95200339085672,17.619999999999994,216.288,4.0,0.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
54,7.0,25.0,2.2510000000000003,47.27760000000003,69.7015351556242,40.46,160.172,2.0,2.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
55,7.0,25.0,2.2510000000000003,47.27760000000003,69.7015351556242,40.46,160.172,2.0,2.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
56,7.0,25.0,0.7855000000000001,34.95990000000001,53.29775803095004,43.09,121.13899999999997,2.0,2.0,1.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
