BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
3529_16,BDBM4,BDBM36019,6.9,24.85,0.4795999999999998,44.453100000000006,66.97966538920639,36.87000000000001,152.217,2.0,3.0,3.0,25.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-9.39
3540_46,BDBM4,BDBM36176,6.9,25.0,0.9213,24.47479999999999,37.98742208408277,20.23,86.134,1.0,1.0,0.0,16.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.91
3529_5,BDBM4,BDBM36012,6.9,24.85,0.4881999999999999,51.00510000000002,78.45815273310987,46.1,182.243,3.0,3.0,4.0,29.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.81
3529_29,BDBM4,BDBM36026,6.9,24.85,0.36909999999999976,39.770000000000024,65.48198531492656,40.13,149.16899999999995,2.0,0.0,3.0,20.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.54
3540_45,BDBM4,BDBM36188,6.9,25.0,0.5312,19.8578,31.62247996968616,20.23,72.107,1.0,1.0,0.0,13.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.46
6_8,BDBM4,BDBM7,6.9,25.0,1.7656,32.63899999999998,50.084594660723724,17.07,112.17200000000001,1.0,0.0,0.0,20.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.4
3536_21,BDBM4,BDBM36157,6.9,25.0,0.7771999999999999,21.971799999999995,32.62831112321538,20.23,74.12299999999998,1.0,1.0,1.0,15.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-8.2
3536_19,BDBM4,BDBM36155,6.9,25.0,0.7771999999999999,21.971799999999995,32.62831112321538,20.23,74.12299999999998,1.0,1.0,1.0,15.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.9
3536_20,BDBM4,BDBM36156,6.9,25.0,0.7771999999999999,21.971799999999995,32.62831112321538,20.23,74.12299999999998,1.0,1.0,1.0,15.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.9
3529_30,BDBM4,BDBM36027,6.9,24.85,0.8610999999999995,42.518100000000025,61.866120159699506,27.64,136.218,1.0,3.0,3.0,24.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.85
3540_27,BDBM4,BDBM50240453,6.9,25.0,-0.21760000000000024,24.46199999999999,43.15477533765576,40.13,101.125,2.0,0.0,2.0,16.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.83
3529_14,BDBM4,BDBM36018,6.9,24.85,0.4795999999999998,44.453100000000006,66.97966538920637,36.87000000000001,152.21699999999996,2.0,3.0,3.0,25.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.73
6_7,BDBM4,BDBM6,6.9,25.0,1.5196,28.091999999999985,43.71965254632713,17.07,98.145,1.0,0.0,0.0,17.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.7
3529_33,BDBM4,BDBM36029,6.9,24.85,0.3017000000000001,48.71320000000003,73.23526751288745,36.84,166.24400000000003,2.0,3.0,3.0,28.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-7.41
